timestamp,device,mode,frequency_hz,amplitude_dbfs,L_rms_dbfs,R_rms_dbfs,L_peak_dbfs,R_peak_dbfs,L_crest,R_crest,balance_db,L_thd_pct,R_thd_pct
2026-03-16T11:08:51,turquoise,L_only,2353.55,-6,-13.98,-43.62,-10.41,-43.27,1.509,1.042,29.644,0.016,54.031
2026-03-16T11:08:53,turquoise,R_only,2353.55,-6,-33.92,-13.99,-33.8,-10.78,1.013,1.447,-19.924,215.499,0.017
2026-03-16T11:08:55,turquoise,both,2353.55,-6,-13.98,-13.99,-10.41,-10.78,1.509,1.447,0.014,0.016,0.016
2026-03-16T11:08:57,turquoise,L_only,3610.64,-6,-14.04,-43.63,-10.46,-43.27,1.509,1.043,29.592,0.017,38.446
2026-03-16T11:08:59,turquoise,R_only,3610.64,-6,-33.92,-14.05,-33.8,-10.84,1.013,1.448,-19.862,94.608,0.017
2026-03-16T11:09:01,turquoise,both,3610.64,-6,-14.04,-14.06,-10.47,-10.84,1.509,1.448,0.014,0.017,0.017
2026-03-16T11:09:03,turquoise,L_only,5539.18,-6,-13.59,-43.63,-10.04,-43.27,1.505,1.043,30.035,0.018,20.566
2026-03-16T11:09:06,turquoise,R_only,5539.18,-6,-33.92,-13.6,-33.8,-10.4,1.014,1.446,-20.319,60.953,0.018
2026-03-16T11:09:08,turquoise,both,5539.18,-6,-13.59,-13.6,-10.04,-10.4,1.505,1.446,0.01,0.018,0.018
2026-03-16T11:09:10,turquoise,L_only,8497.81,-6,-13.93,-43.63,-10.36,-43.27,1.508,1.043,29.696,0.019,10.814
2026-03-16T11:09:12,turquoise,R_only,8497.81,-6,-33.92,-13.94,-33.8,-10.73,1.014,1.447,-19.978,61.463,0.018
2026-03-16T11:09:14,turquoise,both,8497.81,-6,-13.93,-13.95,-10.36,-10.73,1.508,1.447,0.013,0.018,0.018
2026-03-16T11:09:16,turquoise,L_only,13036.73,-6,-13.54,-43.63,-9.99,-43.3,1.504,1.039,30.093,0.0,0.0
2026-03-16T11:09:18,turquoise,R_only,13036.73,-6,-33.92,-13.55,-33.8,-10.35,1.014,1.446,-20.373,0.0,0.0
2026-03-16T11:09:20,turquoise,both,13036.73,-6,-13.54,-13.55,-9.99,-10.35,1.504,1.446,0.009,0.0,0.0
2026-03-16T11:09:22,turquoise,L_only,20000.0,-6,-15.39,-43.64,-11.73,-43.27,1.523,1.044,28.248,0.0,0.0
2026-03-16T11:09:24,turquoise,R_only,20000.0,-6,-33.92,-15.42,-33.81,-12.17,1.012,1.453,-18.498,0.0,0.0
2026-03-16T11:09:26,turquoise,both,20000.0,-6,-15.39,-15.42,-11.73,-12.17,1.524,1.453,0.028,0.0,0.0
2026-03-16T11:09:28,turquoise,L_only,20.0,-12,-30.47,-43.67,-25.73,-43.34,1.725,1.038,13.205,0.33,66.366
2026-03-16T11:09:30,turquoise,R_only,20.0,-12,-33.92,-32.94,-33.8,-28.6,1.014,1.647,-0.982,79.978,0.4
2026-03-16T11:09:32,turquoise,both,20.0,-12,-30.47,-32.94,-25.74,-28.6,1.724,1.649,2.473,0.314,0.355
2026-03-16T11:09:34,turquoise,L_only,25.96,-12,-29.18,-43.65,-24.37,-43.3,1.74,1.04,14.47,0.252,69.136
2026-03-16T11:09:36,turquoise,R_only,25.96,-12,-33.92,-30.96,-33.8,-26.81,1.014,1.612,-2.965,155.617,0.318
2026-03-16T11:09:38,turquoise,both,25.96,-12,-29.18,-30.95,-24.38,-26.8,1.739,1.612,1.773,0.259,0.29
2026-03-16T11:09:40,turquoise,L_only,33.69,-12,-27.71,-43.67,-22.97,-43.34,1.726,1.039,15.965,0.202,72.115
2026-03-16T11:09:43,turquoise,R_only,33.69,-12,-33.92,-28.98,-33.81,-25.02,1.012,1.578,-4.935,82.448,0.259
2026-03-16T11:09:45,turquoise,both,33.69,-12,-27.71,-28.98,-22.97,-25.02,1.726,1.578,1.271,0.213,0.242
2026-03-16T11:09:47,turquoise,L_only,43.73,-12,-26.17,-43.64,-21.55,-43.3,1.703,1.04,17.473,0.154,81.484
2026-03-16T11:09:49,turquoise,R_only,43.73,-12,-33.9,-27.1,-33.8,-23.29,1.012,1.55,-6.802,104.52,0.209
2026-03-16T11:09:51,turquoise,both,43.73,-12,-26.18,-27.1,-21.55,-23.29,1.703,1.55,0.924,0.169,0.188
2026-03-16T11:09:53,turquoise,L_only,56.75,-12,-24.67,-43.64,-20.2,-43.3,1.674,1.039,18.969,0.119,86.92
2026-03-16T11:09:55,turquoise,R_only,56.75,-12,-33.92,-25.36,-33.8,-21.68,1.013,1.527,-8.556,111.022,0.157
2026-03-16T11:09:57,turquoise,both,56.75,-12,-24.68,-25.36,-20.21,-21.69,1.673,1.526,0.684,0.125,0.147
2026-03-16T11:09:59,turquoise,L_only,73.66,-12,-23.32,-43.62,-18.98,-43.3,1.648,1.038,20.308,0.083,51.191
2026-03-16T11:10:01,turquoise,R_only,73.66,-12,-33.91,-23.84,-33.79,-20.25,1.015,1.511,-10.074,64.58,0.113
2026-03-16T11:10:03,turquoise,both,73.66,-12,-23.32,-23.84,-18.98,-20.25,1.648,1.511,0.519,0.09,0.105
2026-03-16T11:10:05,turquoise,L_only,95.6,-12,-22.17,-43.66,-17.94,-43.34,1.627,1.037,21.488,0.058,60.675
